Property_Type,Energy_Rating,Energy_Score,Gross_Floor_Area_Buildings_SQ_FT,No_of_Buildings,Electricity_Use_kBtu,Natural_Gas_Use_kBtu,District_Steam_Use_kBtu,District_Chilled_Water_Use_kBtu,Site_EUI_kBtu_per_sq_ft,Source_EUI_kBtu_per_sq_ft,Weather_Normalized_Site_EUI_kBtu_per_sq_ft,Weather_Normalized_Source_EUI_kBtu_per_sq_ft,Total_GHG_Emissions_Metric_Tons_CO2e,GHG_Intensity_kg_CO2e_per_sq_ft
Office,4,82,1684690,1,67421188.2,0,0,31983539,61.6,135,61.3,138.2,11315.1,7
Office,3.5,71,1253060,1,68706556.9,0,0,0,57.2,160.2,57.9,162,9813.1,8.2
Office,3.5,74,1429883,1,54577737.8,0,0,0,40.6,113.8,40.6,113.8,7795.1,5.8
Office,4,84,1237455,1,50590269.9,34122801.6,0,0,68.5,143.4,71.8,146.9,9038.1,7.3
Office,2.5,53,1526102,1,64870752.4,85834798.1,0,0,98.8,178.1,102.3,181.8,13824.4,9.1
Office,2.5,51,638592,1,31509257,33514399.6,0,0,101.8,193.3,108.6,200.4,6280.5,9.8
Office,3.5,74,1398335,1,68794245.3,0,0,0,49.4,138.4,50.1,140.3,9825.6,7.1
Office,3,65,1178377,1,53002519.8,0,0,0,46.5,130.2,47.6,133.3,7570.2,6.6
Office,3,68,3014304,1,144110835.6,1733446.5,0,0,50.7,140.8,52.5,145.8,20680.7,7.2
Hotel,4,89,2295495,1,56157050.3,105312913.7,0,0,79.8,132.4,84,136.8,13614.4,6.7
Office,4,89,979270,1,61674697.8,18801132.2,0,0,82.2,196.5,84,197.2,9807.4,10
Office,3.5,80,1075664,1,45625946.4,0,0,0,45.1,126.1,45.1,126.1,6518.4,6.4
Office,3,69,1026496,1,44376233.2,0,0,0,44.3,124,46.7,130.8,6338.1,6.3
Office,3.5,76,895765,1,34789195.6,0,0,0,38.8,108.7,41.1,115.1,4968.8,5.5
Multifamily Housing,4,89,88000,1,1214865.8,2662820.7,0,0,44.1,70.4,46.1,71.8,315,3.6
Office,4,69,717914,1,28553178.7,31470002.4,0,0,84.2,158.5,89,163.6,5749.7,8.1
Office,4,86,1121259,1,60160486.4,31080.3,0,0,59.3,166,61.3,171.5,8594.2,8.5
Office,3,62,865070,1,44630154.2,0,0,0,52.9,148.2,55.9,156.6,6374.4,7.6
Office,3.5,74,2159198,1,100986260.6,45592.9,0,0,49.1,137.3,51,142.7,14425.9,7
Office,3,66,941166,1,29477782.9,47468807.5,0,0,87.6,150.6,88.5,151.6,6731.5,7.7
Office,3,65,160558,1,2607492.7,12447766.8,0,0,93.8,126.9,103.1,136.6,1033.6,6.4
Office,4,83,1088373,1,35132340.4,5513.6,0,13902396.1,45.1,102,45.2,105,5750.8,5.3
Office,3,67,708981,1,33166441.5,85782.6,0,0,46.9,131.1,49.3,137.9,4741.6,6.7
Multifamily Housing,3.5,79,50986,1,414387.4,3105291.6,0,0,69,86.7,76.1,94.1,224.1,4.4
Office,3,66,726112,1,33676617.4,0,0,0,47,131.7,48.8,136.6,4809.9,6.7
Office,4,69,677385,1,23869082.7,28959598.6,0,0,78,143.6,81,146.4,4947.3,7.3
Office,3.5,76,904965,1,36041433.7,0,0,0,46.3,129.7,47.9,134.1,5147.7,6.6
Office,4,94,787045,1,14422947.1,18128401.1,0,0,41.4,75.5,44.5,78.8,3022.9,3.8
Office,4,63,512369,1,17280541.4,30692995.9,0,5127384.1,103.6,166.4,110.7,175,4368.6,8.5
Office,4,85,789024,1,24457393.4,0,0,0,31,86.8,31.7,88.7,3493.2,4.4
Office,4,81,703370,1,31941335.6,390604.2,0,0,46,127.7,48.3,134.3,4582.8,6.5
Office,4,88,728275,1,11551998.2,28956795.1,0,0,58.9,91.2,63.6,95.4,3188,4.6
Hotel,4,81,1273000,1,57841588.8,18131200.5,0,0,65.6,156.3,65.6,156.3,9224.3,8
Office,4,83,787045,1,27620726.9,16140899.4,0,0,55.6,119.8,58.2,122.6,4802.3,6.1
Office,3.5,74,692429,1,18549501.8,20521969.6,0,9770892.2,72.7,122.6,73.1,123.5,4254.3,6.3
Office,3.5,77,663093,1,37276748.3,824713.2,0,0,57.5,158.7,59,162.9,5367.9,8.1
Office,3.5,78,1281114,1,42173855.4,38348556.4,0,0,62.9,123.6,65.9,126.8,8060.4,6.3
Office,3,69,641962,1,32088938.8,0,0,0,50,140,52.3,146.5,4583.2,7.1
Office,3.5,73,618563,1,21817215.1,18026606.7,0,0,65.4,131.3,69.1,134.7,4073.6,6.7
Hotel,4,100,375000,1,6518032.3,1264900,0,0,20.8,52.2,20.8,52.2,998.1,2.7
Office,3,67,564484,1,26789058.7,0,0,0,48.2,134.9,49.4,138.3,3826.2,6.9
Office,2.5,51,517115,1,35150935.8,38586.4,0,0,68,190.4,72.2,202.1,5022.5,9.7
Office,3,50,434169,1,20011356.1,28058124.7,0,0,110.7,196.9,118.6,205.2,4348.5,10
Office,3,70,548786.1,1,15276005.1,25504550.9,0,9264263.9,91.2,142.1,93.8,145.8,4024.7,7.3
Office,4,89,488324,1,15129425.6,0,4959147.7,0,41.1,99,42,99.4,2490.2,5.1
Hotel,1,2,440281,1,65729450.4,379100,0,0,150.2,418.9,153.1,427.2,9408,21.4
Office,4,84,525575,1,19037991,256383,0,0,37.1,103.2,37.8,104.9,2732.7,5.3
Office,3.5,73,354146,1,8307660.4,14822999.6,0,0,65.3,109.6,68.3,111.9,1973.9,5.6
Office,4,82,412504,1,13458651.1,12369920.6,0,0,62.6,122.8,66.1,125.8,2579.3,6.3
Multifamily Housing,3.5,76,67064,1,1187788.9,4522607.9,0,0,88.9,125.6,93.9,129.5,409.9,6.4
Office,3.5,71,105313,1,3725658.3,4443985.4,0,0,77.6,143.4,80.8,144.3,768.2,7.3
Hotel,1,30,383168,1,8764216.7,54905797,0,18621120.5,214.8,258.7,226.6,271.2,5149.4,13.4
Office,2.5,54,528730,1,25848373.7,0,0,0,48.9,136.9,51,142.9,3691.8,7
Office,3.5,77,464498,1,13911491.7,12561714.2,0,0,57,112.3,59.2,112.7,2654.1,5.7
Office,4,87,400491.8,1,15974868,0,0,0,40.7,114,41.4,116,2281.6,5.8
Office,3,69,434052,1,17891613.6,8846283.3,0,0,61.6,136.8,63.1,137.5,3025.3,7
Office,3,64,200116,1,8912198.6,494533,0,0,47,127.3,49.1,132.7,1299.2,6.5
Office,3.5,75,620360,1,21047986.5,19405102,0,0,65.2,127.8,68.9,130.4,4036.9,6.5
Office,4,77,338934,1,16931036.6,0,0,0,50.9,142.5,52.1,145.9,2418.2,7.3
Office,4,84,287730.4,1,6648213.8,13513519.7,0,0,70.1,114,76,120.3,1667.3,5.8
Office,3.5,76,996358.3,1,43457040.4,0,0,0,44.3,124,45,126.1,6206.8,6.3
Office,4,77,353439,1,17387934.1,0,0,0,50.3,140.9,52.2,146.3,2483.5,7.2
Office,4,70,529401,1,15577503.1,26939065.6,0,0,80.3,135.8,85,139.5,3655.7,6.9
Office,1.5,33,259000,1,14851924.2,17711778.3,0,0,125.7,232.4,133.6,240.6,3062,11.8
Office,3.5,79,409072,1,13472851.8,11195097.4,0,0,60.3,121,64.4,125.2,2518.9,6.2
Office,2.5,60,311003,1,8639419.4,17893361.1,0,0,88.2,142.8,95.1,150.1,2184.3,7.3
Office,2,45,222125,1,12378353.9,9741972.6,0,0,99.6,202.1,105.8,208.6,2285.4,10.3
Office,3,65,308836,1,8665422.3,17884966.1,0,0,100.1,162.4,108.3,170.9,2187.6,8.3
Multifamily Housing,3,65,58167,1,728871.4,5207499.8,0,0,102.1,129.1,109.8,136.6,380.7,6.5
Office,2.5,58,464592,1,25636191.7,0,0,0,55.2,154.5,57.5,161.1,3661.5,7.9
Office,3,70,324762,1,7928989.8,11520450,0,0,62.8,110.8,67.5,115.7,1744.4,5.6
Multifamily Housing,1,26,97930,1,5436513.6,3951000.2,0,0,95.9,197.8,99.6,202.6,986.3,10.1
Office,4,100,312000,1,8915402.5,0,0,0,28.6,80,28.6,80,1273.4,4.1
Multifamily Housing,1,17,52000,1,813362.8,5471042.2,0,0,149.6,191,162.7,203.2,406.8,9.7
Multifamily Housing,2.5,54,53092,1,1910225.3,931951.3,0,0,53.5,119.2,56.9,127.3,322.3,6.1
Multifamily Housing,4,81,161000,1,4574737.9,1889071.2,0,0,40.1,91.9,41.2,94.3,753.7,4.7
Multifamily Housing,3,61,68000,1,858118,4267999.8,0,0,75.4,101.2,82,107.2,349.3,5.1
