Property_Type,Energy_Rating,Energy_Score,Gross_Floor_Area_Buildings_SQ_FT,No_of_Buildings,Electricity_Use_kBtu,Natural_Gas_Use_kBtu,District_Steam_Use_kBtu,District_Chilled_Water_Use_kBtu,Site_EUI_kBtu_per_sq_ft,Source_EUI_kBtu_per_sq_ft,Weather_Normalized_Site_EUI_kBtu_per_sq_ft,Weather_Normalized_Source_EUI_kBtu_per_sq_ft,Total_GHG_Emissions_Metric_Tons_CO2e,GHG_Intensity_kg_CO2e_per_sq_ft
Multifamily Housing,3.5,58,68271,1,1788603.8,2404841.2,0,0,61.4,110.3,63.8,111.5,383.2,5.6
Multifamily Housing,3.5,76,71864,4,1138853.6,3772230.5,0,0,68.3,99.5,71.9,101.6,363,5.1
Multifamily Housing,4,61,52193,1,820965.4,3451440,0,0,81.9,113.5,86.4,117.5,300.6,5.8
Multifamily Housing,2.5,33,58000,1,1770691.5,1229025.8,0,0,51.7,107.7,51.5,105.7,318.2,5.5
Multifamily Housing,3.5,77,189514,1,2715095.6,6020567.9,0,0,71.8,114.4,75.6,117.1,707.6,5.8
Multifamily Housing,3.5,73,47480,1,1493526.6,1247103,0,0,57.7,115.7,60.3,121.8,279.6,5.9
Multifamily Housing,4,90,55932,1,459459.9,3469726.9,0,0,70.2,88.1,70.2,88.1,249.9,4.5
Multifamily Housing,3,49,50000,1,941459.5,2845593.1,0,0,75.7,112.5,79.4,115.3,285.6,5.7
Multifamily Housing,4,98,54500,1,860376.7,673755,0,0,30,60.9,31.1,61,158.7,3.1
Multifamily Housing,4,99,57405,1,473322.2,2517599,0,0,52.1,69.1,56,73.2,201.3,3.5
Multifamily Housing,4,97,62000,1,1441043.9,856746.5,0,0,37.1,79.6,38.6,83.2,251.3,4.1
Multifamily Housing,4,84,55892,1,888813.4,1043441.9,0,0,40.7,75.4,40.7,75.4,182.4,3.8
Multifamily Housing,1,14,57240,1,1298570.4,3887308.8,0,0,90.6,134.8,94,138.4,391.9,6.8
Multifamily Housing,4,92,53000,1,289298.4,2580082.2,0,0,54.1,66.4,59.2,71.7,178.4,3.4
Multifamily Housing,2,48,87455,1,1692973,4790907,0,0,74.1,111.7,77.3,113.8,496.3,5.7
Multifamily Housing,4,100,64619,1,378765.1,1247516.8,0,0,25.2,36.7,24.7,35.5,120.4,1.9
Multifamily Housing,4,100,59000,1,99946.3,2625544.3,0,0,46.2,51.5,50.1,55.5,153.7,2.6
Multifamily Housing,1,17,64468,1,642803.7,5191700.2,0,0,111.2,138.2,121.9,149.4,367.6,7
Multifamily Housing,1.5,33,55000,1,1181466.4,4490665.8,0,0,103.1,145.9,109.5,152.6,407.3,7.4
Multifamily Housing,4,74,66000,1,481917.7,3386213.6,0,0,58.6,74.3,64.4,80.4,248.7,3.8
Multifamily Housing,1,2,201415,5,12014399.2,5012142.6,0,0,84.5,193.1,86.4,194.7,1982.2,9.8
Multifamily Housing,2.5,58,50592,1,363978.5,3986933.1,0,0,86,102.9,96,112.9,263.8,5.2
Multifamily Housing,4,73,59712,1,1507885.6,2040713.8,0,0,59.4,106.6,62.5,110,323.8,5.4
Multifamily Housing,3,68,58656,1,378274.8,3838984.4,0,0,71.9,86.8,78.3,93.1,257.9,4.4
Multifamily Housing,4,86,82600,1,1989018.6,1561264.2,0,0,43,87.3,44.5,89.7,367,4.4
Multifamily Housing,1,20,52998,1,738292,5409892.8,0,0,116,146.2,127,156.4,392.8,7.4
Multifamily Housing,4,81,58358,1,343660.1,3098109.6,0,0,59,72.2,63.2,76.2,213.6,3.7
Multifamily Housing,4,87,51375,1,814249.9,2087397.1,0,0,56.5,87,59.8,90.1,227.2,4.4
Multifamily Housing,4,72,215493,1,4887587.6,6446460.5,0,0,64.4,116.2,67.8,119.8,1040.5,5.9
Multifamily Housing,3,44,70000,1,815683,5740499.6,0,0,93.7,118.7,103.3,128.9,421.4,6
Office,2,21,65885,1,5907577.7,0,0,0,89.7,251.1,92.3,258.5,843.8,12.8
Office,2.5,60,68150,1,1311276,4456799.6,0,0,84.6,122.5,91.1,127.8,424,6.2
Multifamily Housing,3.5,51,56880,1,649996.2,4420251.6,0,0,89.1,113.6,97.9,122,327.6,5.8
Office,2,41,61357,1,3064917.7,2260575.4,0,0,86.8,178.6,90.5,180.7,557.8,9.1
Multifamily Housing,4,84,78055,1,2696920.9,1697414.4,0,0,56.3,119.6,59.1,126.1,475.3,6.1
Supermarket/Grocery Store,2.5,54,63165,1,9654308.6,8606567.3,0,0,289.1,571,299.6,576.6,1836,29.1
Office,3.5,72,66095,1,2292276.8,1692339.9,0,0,60.3,124,63.3,127.2,417.3,6.3
Office,3.5,79,93401,1,3505812.9,1444941.2,0,0,67.8,155.3,70.4,157.7,577.5,7.9
Multifamily Housing,4,89,100284,1,1248271.3,4865791.3,0,0,61,85.8,64.9,89.9,436.7,4.4
Multifamily Housing,4,86,281528,1,2787218.4,14463521.2,0,0,66.6,88.8,72.6,93.8,1166.3,4.5
Multifamily Housing,4,85,90000,1,1710933.8,2220780.3,0,0,52.4,95,55.1,96.8,362.3,4.8
Multifamily Housing,4,85,94600,1,1798417.1,4326231.8,0,0,64.7,101.2,69.2,105.9,486.6,5.1
Supermarket/Grocery Store,2,43,61567,1,9285590.8,7740900.2,0,0,276.6,554.3,288.4,564.4,1737.4,28.2
Senior Living Community,1,5,60000,1,1797172.1,4287000.3,0,0,101.4,158.9,109,166.2,484.4,8.1
Office,4,91,58602,1,330557.1,3145308.1,0,0,59.3,72.1,0,0,214.3,3.7
Multifamily Housing,4,83,77607,1,463511,4397949.3,0,0,62.6,76.2,68.3,82.2,299.8,3.9
Multifamily Housing,4,64,52000,1,508685.9,2922766.2,0,0,66,86.4,72.8,93.6,227.9,4.4
Multifamily Housing,4,100,104900,1,1118905,2551354.1,0,0,39.4,62.3,41.8,64.4,295.3,3.2
Office,4,98,81887,1,1130757.3,327600,0,0,17.8,42.9,18.5,43.5,178.9,2.2
Supermarket/Grocery Store,4,64,66467,1,7938963.1,5144300,0,0,196.8,415.7,203.4,422.6,1407.1,21.2
Multifamily Housing,4,90,76600,1,2023278.5,607392,0,0,34.3,82.3,34.6,82.5,321.2,4.2
Multifamily Housing,4,83,67650,1,1006871,4337825.3,0,0,79,109,84.2,113.2,374.2,5.5
Multifamily Housing,4,94,50000,1,593799.6,1890200,0,0,49.7,72.9,54,76.3,185.2,3.7
Multifamily Housing,3.5,59,64979,1,607417.9,5860729.9,0,0,99.5,120.9,107.5,128.4,398,6.1
Multifamily Housing,4,99,80000,1,801865.7,2036199.6,0,0,35.5,54.8,37.8,56.4,222.7,2.8
Multifamily Housing,3,44,76690,1,2901954.1,2431620,0,0,69.5,139.2,69.5,139.2,543.6,7.1
Multifamily Housing,4,97,80397,1,1692996.9,827829,0,0,34.9,77.7,35.3,77.7,285.8,4
Multifamily Housing,4,73,90780,1,1241340.2,5570051.5,0,0,75,102.7,81.9,109.9,473.1,5.2
Multifamily Housing,3,68,90000,1,1186937.2,3971543.3,0,0,57.3,83.3,60.5,85.1,380.5,4.2
Multifamily Housing,1,1,54000,1,4296578.1,0,0,0,85.9,240.6,85.9,240.6,613.7,12.3
Multifamily Housing,3,61,143900,1,2724089.6,6679599.9,0,0,67.2,104.7,72.2,109.9,743.9,5.3
Office,2,48,74458,1,5212021.1,0,0,0,70,196,71.6,200.5,744.4,10
Multifamily Housing,4,64,67090,1,1340505.5,3570172.2,0,0,73.2,111.8,78.3,116.1,381.1,5.7
Multifamily Housing,1,23,122332,1,2624638.7,7756149.6,0,0,101.2,151,108.5,158.7,786.8,7.7
Multifamily Housing,4,99,66000,1,1128471.2,1395565.2,0,0,38.2,70.1,39.5,70.7,235.3,3.6
Multifamily Housing,2.5,31,70000,1,1311794.6,5109980.5,0,0,91.7,129.1,96.9,133.2,458.8,6.6
Multifamily Housing,4,90,55000,1,1015551.1,1575730.8,0,0,47.1,81.8,49.5,84.3,228.7,4.2
Multifamily Housing,1,1,105309,1,1834680.5,18293359.6,0,0,248.5,300.5,271.3,324.2,1233.7,15.2
Multifamily Housing,2,45,145230,1,5393010.6,1778982.4,0,0,49.4,116.8,51.5,122.3,864.8,6
Multifamily Housing,3,42,59667,1,399698.7,5197511,0,0,93.8,110.2,103.5,120.2,333.2,5.6
Office,4,91,101235,1,2023247.8,2288287.9,0,0,42.6,79.7,45.1,81.5,410.5,4.1
Multifamily Housing,4,88,104413,2,1847556,6019952,0,0,77.3,112.9,81.9,117.8,583.6,5.7
Supermarket/Grocery Store,2,30,256742,1,17973788.2,17583949.7,0,0,357.5,691.6,370,704.7,3501.1,35.2
Multifamily Housing,4,99,126000,1,1999277.8,1704904.3,0,0,34.3,68.4,35.4,68.7,376.1,3.5
Multifamily Housing,4,89,74913,1,1974715.5,2973871,0,0,66.1,115.5,70.5,120.1,440,5.9
Multifamily Housing,4,82,58400,1,316180.6,3742799.7,0,0,69.5,82.5,76.8,90.1,244,4.2
Multifamily Housing,1,24,188100,1,10862511.4,4991615.4,0,0,84.3,189.6,87.7,199.1,1816.6,9.7
Multifamily Housing,4,98,112662,1,2646412,2206413,0,0,43.1,86.3,44.5,88.8,495.2,4.4
Multifamily Housing,4,91,84151,1,1058760.7,2423514.4,0,0,44.6,70.5,46.6,71.7,279.9,3.6
Multifamily Housing,2.5,58,80419,2,2584688.9,1451482.2,0,0,50.2,108.9,50.6,109.4,446.3,5.5
Multifamily Housing,4,99,172500,1,2369840.4,3384568.7,0,0,38.4,67.9,38.4,67.9,518.2,3.5
Multifamily Housing,3,42,131500,1,2370147.2,9400827.5,0,0,93.4,131,101.3,138.6,837.8,6.6
Office,4,81,110000,1,4239140.5,212400,0,0,40.5,109.9,41.7,113.4,616.7,5.6
Multifamily Housing,2.5,55,68271,1,1270585.1,5406019.2,0,0,97.8,135.3,104.3,139.9,468.6,6.9
Multifamily Housing,4,81,117050,4,2046278.1,3870892.7,0,0,60.8,100.7,63.7,102.7,497.9,5.1
Hotel,2.5,33,100535,1,6568209.2,3121325,0,0,96.4,215.5,99.2,218.5,1103.9,11
Multifamily Housing,2.5,39,109084,3,1005823.1,11109353.6,0,0,111.1,132.8,120.5,142.7,733.7,6.7
Multifamily Housing,4,98,65000,1,1033973.5,1400695.2,0,0,37.5,67.2,38.5,67.1,222.1,3.4
Multifamily Housing,1.5,31,95500,1,1401341.2,8853764.6,0,0,107.4,138.4,117.6,149.1,670.4,7
Office,4,83,162836,1,3202245.9,3821952.5,0,0,63.7,117.8,66.8,119.6,660.4,6
Hotel,4,85,150000,1,5510833.8,6156317.1,0,0,77.8,146,80.8,147.7,1114.1,7.4
Multifamily Housing,3,70,111592,1,798165.4,6504563,0,0,65.4,81.2,70.5,85.9,459.5,4.1
Multifamily Housing,1,29,64000,1,1650961,6026826.6,0,0,120,171.1,127.3,177.5,555.9,8.7
Office,1,10,127872,1,13432156.9,4442631.6,0,0,139.8,330.6,143.7,334.7,2154.4,16.8
Multifamily Housing,2,25,73600,1,1944326.5,6900699.9,0,0,120.2,172.4,129.9,181.6,644.2,8.8
Office,3.5,72,120173,1,5804163.4,0,0,0,48.5,135.7,50,139.9,829,6.9
Senior Living Community,4,83,120000,1,3569204.5,4617100,0,0,68.2,123.7,71.7,126.5,755,6.3
Senior Living Community,4,82,84139,1,1845151.6,1286300,0,0,37.2,77.5,38,77.6,331.9,3.9
Multifamily Housing,4,88,66670,1,1113011.5,2094168.5,0,0,62.1,102.9,64.1,103.2,270.2,5.2
Office,2.5,58,129029,1,4460500.8,3296400,0,0,60.1,123.6,60.1,123.6,812.2,6.3
Office,4,89,120592,1,2374527.8,2104501.2,0,0,37.1,73.5,38.4,74.2,450.9,3.7
Office,2,28,102450,1,8217907.8,3594699.9,0,0,115.3,261.4,115.3,261.4,1364.7,13.3
Multifamily Housing,3.5,79,93983,1,2026943,1912258.7,0,0,61.6,120.1,64.4,122,391.1,6.1
Multifamily Housing,2,49,51476,1,1111104.5,1837873.7,0,0,71.5,122.2,75.6,125.4,256.3,6.2
Multifamily Housing,4,74,54634,1,381987,3540828.6,0,0,71.8,87.6,79,94.2,242.6,4.4
Multifamily Housing,1.5,36,148157,1,5739475.3,4933299.8,0,0,72,143.4,75.3,149.1,1081.8,7.3
Multifamily Housing,3,64,188910,1,4000058.2,11086033,0,0,79.9,120.9,83.8,124.1,1160.1,6.1
Multifamily Housing,4,99,287104,1,2947941,13150241.8,0,0,63.2,86.5,67.5,89.7,1119.5,4.4
K-12 School,3.5,74,137334,2,1778359.6,6894519.9,0,0,63.2,89,70.6,97.3,620.2,4.5
Multifamily Housing,3,68,249582,1,4415882.1,11814903.1,0,0,70.7,107.9,76.2,112.2,1258.3,5.5
Multifamily Housing,4,100,250863,1,2794513.3,5079520.7,0,0,44.8,74.8,46.7,75.9,668.9,3.8
Multifamily Housing,4,72,283626,1,5490150.3,10831600.2,0,0,69.4,113.7,74,117.7,1359.5,5.8
Multifamily Housing,4,75,303430,1,5414799.6,10226962.8,0,0,68.8,114,73,116.8,1316.6,5.8
Multifamily Housing,4,61,303734,1,5872686.6,18234687.1,0,0,84,123.9,90.7,129.2,1807.3,6.3
Multifamily Housing,4,94,175279,1,2472509.2,10121592.3,0,0,71.9,100.1,78.2,105.7,890.7,5.1
Multifamily Housing,3,69,254138,1,4358761.8,9924805.6,0,0,64.1,101.5,68.8,105.4,1149.7,5.2
Multifamily Housing,4,68,374409,1,6031494.8,14498816.1,0,0,67.8,106,72.5,109.2,1631.6,5.4
Multifamily Housing,4,97,122812,1,1001111.5,6202785.4,0,0,58.7,75.9,63.6,81,472.4,3.8
Multifamily Housing,4,89,579783,2,1109367.4,46638549.9,0,0,88.6,96.6,98.6,107.1,2635.6,4.9
Multifamily Housing,2.5,37,357816,1,13528296.8,5258557.6,0,0,65.9,152.2,69.3,158.8,2211.5,7.8
Multifamily Housing,4,61,286985,1,7035963.7,15965257.6,0,0,89.4,141.7,96.7,149.4,1852.9,7.2
Multifamily Housing,2.5,54,171630,1,1329643.4,14531135.1,0,0,92.4,110.6,102.5,121.2,961.7,5.6
Multifamily Housing,3,46,276310,1,4625064.9,378275.8,13463116.2,0,75,119.9,0,0,1523.2,6.2
Multifamily Housing,4,90,231174,1,2000252.6,10058185.5,0,0,62.2,83.4,67.6,89,819.9,4.2
Multifamily Housing,2,24,246000,1,6358623.7,17582732.1,0,0,124.6,188.8,131.6,194.5,1842.1,9.6
Multifamily Housing,1,30,224710,1,8780754.7,3348556.6,0,0,60.2,139.5,64.3,147.5,1432,7.1
Multifamily Housing,3.5,56,175456,1,7926366,0,0,0,45.2,126.5,47.8,133.9,1132.1,6.5
Multifamily Housing,2.5,31,86222,1,4983055.4,1377815.3,0,0,73.8,178.6,78.6,189,784.9,9.1
Multifamily Housing,4,90,542774,1,7081957.4,22082075.3,0,0,53.7,79.3,57.4,82.2,2184.4,4
Multifamily Housing,4,65,252794,1,3917784.6,13655444.3,0,0,75.1,108.1,81.2,114.5,1284.9,5.5
Multifamily Housing,4,94,261305,1,6948971.3,0,0,0,32.6,91.3,34.9,97.6,992.5,4.7
Multifamily Housing,3,50,363424,1,8508214.4,16519560.1,0,0,68.9,113.3,73.5,116.6,2092.6,5.8
Multifamily Housing,3,41,1938443,1,29498224.2,78602505.4,0,0,69.1,105.5,73.1,109.7,8388.1,5.4
Multifamily Housing,4,72,302000,1,5038149,17496069.5,0,0,77.9,112.3,84.8,118.7,1648.9,5.7
Multifamily Housing,2,42,503611,1,8796548.9,21458100.1,0,0,60.1,93.6,63.8,94.9,2396.1,4.8
Multifamily Housing,3,69,244331,1,4839089.5,7514300,0,0,66.5,115.5,69.2,117.1,1090.3,5.9
Multifamily Housing,3,45,437780,1,14416873.7,7767570.7,0,0,66.1,144.5,70.3,153.2,2471.7,7.4
Multifamily Housing,2.5,51,325351,1,4431120,20930400.5,0,0,90.8,123.1,99.3,131.2,1744.6,6.2
Multifamily Housing,3.5,74,232186,1,4135552.1,8338815.2,0,0,68.5,111.6,72,113.8,1033.6,5.7
Multifamily Housing,1,15,322820,1,5190406.1,25029934,0,0,136.9,184.8,148.1,195.5,2070.8,9.4
Multifamily Housing,2.5,32,343068,1,8158163.7,15064665.9,0,0,79.8,132.8,85.6,139,1965.4,6.8
Multifamily Housing,3,65,502995,1,17320652.9,6544648.1,0,0,47.4,110.1,49.4,114.8,2821.5,5.6
Multifamily Housing,1,26,627680,1,16107089.8,41999516.7,0,0,92.6,142.1,98.8,146.9,4531.3,7.2
Multifamily Housing,4,73,241267,1,5068744.4,12712036.8,0,0,80.3,124.4,85.1,128,1399.1,6.3
Multifamily Housing,1,16,150659,1,3706817.3,8749932.9,0,0,112.2,176.3,119.8,184.3,994.2,9
Multifamily Housing,4,82,120895,1,2403092.1,3328549.1,0,0,59.2,105.5,61.4,106.6,520,5.4
Multifamily Housing,4,100,354934,1,5888828.8,0,0,0,22.6,63.4,0,0,841.1,3.2
Multifamily Housing,2.5,56,348944,1,6717948.2,16086532.1,0,0,86.5,135.3,91,139.3,1813.9,6.9
Multifamily Housing,4,93,115775,1,2760847.1,2784974.2,0,0,47.9,92,50.4,94.5,542.2,4.7
Multifamily Housing,2,22,249616,1,6784182,14361538.1,0,0,94.1,151.7,101.2,157.5,1731.8,7.7
Multifamily Housing,2,50,135000,1,5074282,2896808.4,0,0,66.3,143.6,69.6,149.9,878.6,7.3
Multifamily Housing,1,27,360669,1,7052133.1,22489101.1,0,0,113.4,166.4,120.8,172.4,2201.7,8.4
Multifamily Housing,3.5,58,307289,1,8005875.9,5686276.7,0,0,56.3,116.8,58.6,120.6,1445.5,5.9
Multifamily Housing,1,16,768513,1,45881164,6816620.7,0,0,77.8,200.3,80.5,207.8,6915.1,10.2
Multifamily Housing,4,86,326716,1,5446708.7,13290525.4,0,0,67.9,105.9,73,110.2,1483.9,5.4
Multifamily Housing,3,61,469949,1,10214507.8,13724494.1,0,0,69.6,125,73.5,129.1,2187.9,6.4
Multifamily Housing,4,98,278604,1,2938507.2,7316406,0,0,36.8,57.1,39.5,59.2,808.3,2.9
Multifamily Housing,1,20,546349,1,22285351.8,19442083.1,0,0,76.4,151.6,81.6,160.9,4215.6,7.7
Multifamily Housing,4,61,328276,3,12899386.7,5360672.3,0,0,55.8,127.5,58.4,134.2,2127.1,6.5
Multifamily Housing,4,77,287688,1,8645557.6,0,0,0,35.6,99.7,38.2,106.9,1234.8,5.1
Multifamily Housing,4,65,310620,1,3606521.5,18305118.8,0,0,83.3,111.4,89.1,115.7,1487.4,5.7
Multifamily Housing,4,82,450036,1,7542577.4,0,0,0,62.8,99,0,0,2007.6,5
Multifamily Housing,1,18,468820,1,11388252.9,28106037.6,0,0,110.7,172.1,119.6,181.4,3119.4,8.7
Multifamily Housing,4,65,357063,1,10494660.3,5759245.5,0,0,58.9,128.3,62.3,136.2,1804.8,6.5
Multifamily Housing,4,65,450000,1,6108237.5,16268666.3,0,7456295.9,76.5,105.1,79,107.9,0,0
Multifamily Housing,1,13,690169,1,38372000.3,9260060.6,0,0,97,238.6,99.4,244.2,5972.4,12.2
Multifamily Housing,4,81,555104,1,8659447.9,23065198,0,0,66.8,102.1,71.6,106.3,2461.9,5.2
Multifamily Housing,4,97,951100,1,12170140,22614299.7,0,0,46.4,77.2,48.7,78.5,2939.4,3.9
Multifamily Housing,1,17,371795,1,17578446.6,0,0,0,61.1,171,65.8,184.3,2510.7,8.7
Multifamily Housing,2.5,34,231317,1,4749224.2,10615088.2,0,0,90.7,144.3,97,150.5,1242.1,7.3
Multifamily Housing,4,72,582515,1,10154224.6,27197519.5,0,0,71.7,109.5,76.8,114.8,2894.9,5.6
Multifamily Housing,4,99,282718,1,3113989.1,8193635.8,0,0,53.6,82.1,56.4,84,880,4.2
Multifamily Housing,4,94,702394,1,7030552.2,39016215.7,0,0,75.1,98.9,81.5,105.2,3076.5,5
Multifamily Housing,4,84,239978,1,3386905.4,10859361.9,0,0,78.1,114.5,82,116.7,1060.5,5.8
Multifamily Housing,4,64,112942,1,4114158.9,907497,0,0,44.5,110.4,47,117,635.8,5.6
Multifamily Housing,3.5,51,347000,1,7357756.2,13669090,0,0,75.6,125.7,81.4,131.3,1776.9,6.4
Multifamily Housing,4,100,374047,1,3168203,8256427.9,0,0,32.6,50.1,32.3,49.1,891,2.5
Multifamily Housing,4,100,830424,1,3740879.3,14770942.8,0,0,22.3,31.3,23.8,32.6,1318.9,1.6
Multifamily Housing,2,42,245715,1,5482633.6,9219564.4,0,0,89.5,152.4,93.7,156,1272.8,7.7
Multifamily Housing,4,83,271138,1,5142447,6358737.5,0,0,60.4,110.6,62,110.9,1072.2,5.6
Multifamily Housing,2.5,35,784181,1,26257530.5,8368467,0,0,59.6,141.7,62.4,149.6,4194.8,7.2
Multifamily Housing,1.5,37,379033,1,9432364.8,16214613.4,0,0,91.8,155.5,97.7,159.7,2208.4,7.9
Multifamily Housing,1,26,373801,1,10363281.2,13556499.6,0,0,86.7,156.7,89.8,160.2,2200.2,8
Multifamily Housing,2,47,403799,1,10159752,20295879.4,0,0,83.2,136,86.2,136,2529.1,6.9
Multifamily Housing,3,43,580512,1,10292823.4,37566785.6,0,0,93.1,132.8,100.6,139.4,3465.4,6.7
Multifamily Housing,4,79,167091,1,2569519.2,10219058.4,0,0,94.7,132.7,103.4,141.1,909.8,6.7
Multifamily Housing,4,77,100460,1,1615025.8,5715435.8,0,0,80.1,115.1,87.8,123,534.2,5.8
Multifamily Housing,1.5,38,263800,1,10469411.5,5760574.3,0,0,61.5,134.1,65.1,141.8,1801.3,6.8
Multifamily Housing,2.5,56,199011,1,5475918.8,4231200,0,0,65.6,133.7,67.9,136.1,1006.8,6.8
Multifamily Housing,1,8,351093,1,11550913.1,13345499.7,0,0,89.2,166.1,92.4,170.7,2358.6,8.5
Multifamily Housing,3.5,75,295000,1,5474683.7,17270451,0,0,77.1,113.4,84.3,120.3,1699.2,5.8
Multifamily Housing,2.5,53,1783891,1,55732597.5,28116913.6,0,0,53.8,119.1,55.6,124.2,9453.5,6.1
Multifamily Housing,4,85,850000,1,11581890.7,37143148,0,0,61.9,90.8,66.9,95,3627.1,4.6
Multifamily Housing,4,83,424730,1,6076748.1,15970201.1,0,0,67.6,103.6,71.9,107.1,1716.2,5.3
Multifamily Housing,3,64,324707,1,7146440.8,8331458.1,0,0,59.8,111.2,62.3,112.9,1463.2,5.7
Multifamily Housing,3,61,597736,1,14284123,22239779.7,0,0,61.1,106,64.6,108.5,3221.4,5.4
Multifamily Housing,4,77,769951,2,29833965,0,0,0,38.7,108.5,38.7,108.5,4261.1,5.5
Multifamily Housing,1,23,499172,1,12959949.7,24860117.1,0,0,94,155.1,98,158.1,3171.5,7.9
Multifamily Housing,4,89,199712,1,4664340.5,2924613,0,0,38,80.8,39.5,83.2,821.5,4.1
Multifamily Housing,3,44,609271,1,12917968.5,29465291.9,0,0,89.2,141.3,96.8,149.3,3410.1,7.2
Multifamily Housing,2.5,55,406524,1,6096527.5,24160656,0,0,84,117.8,91.5,125.7,2154,6
Multifamily Housing,2.5,56,137769,1,3682807,6020773,0,0,70.4,120.7,73.5,122.9,845.8,6.1
Multifamily Housing,2,44,447778,1,18552569.2,1126055.4,0,0,51.5,139.1,55,147.9,2709.6,7.1
Multifamily Housing,3.5,73,670000,1,14466948.2,20350657.6,0,0,60.1,106.8,63.2,109.6,3147.2,5.4
Multifamily Housing,4,87,516812,2,9670467.8,10951729.4,0,0,53.3,99.7,54.7,101.2,1962.9,5.1
Multifamily Housing,2,26,383962,1,17486104.2,3570480.1,0,0,68,170.2,72.1,181.6,2687.1,8.7
Multifamily Housing,1,28,277047,1,4812199.5,15477578.9,0,4759716.1,112.1,152.4,116.5,157.4,0,0
Multifamily Housing,1,19,276268,1,7497218.3,12873427.8,0,0,88.5,149.9,90.2,149.4,1754.6,7.6
Multifamily Housing,2.5,55,412335,1,8863939.3,13908353.8,0,0,71.6,123.9,74,124.8,2004.7,6.3
Multifamily Housing,1.5,31,144000,1,6048721.9,0,0,0,54,151.2,56.3,157.5,863.9,7.7
Multifamily Housing,1,14,636851,1,32371390.9,6837869.1,0,0,64.2,160.2,66.7,167.3,4986.7,8.2
Multifamily Housing,3,64,267040,1,5230800.7,9991906.4,0,0,73.4,121.1,77.9,125.6,1277.8,6.2
Multifamily Housing,1,11,453194,1,13335344.8,36613527.1,0,0,141.1,214.1,149.8,219.2,3849.4,10.9
Multifamily Housing,1,25,680267,1,27900992,2500603.3,0,0,60.1,159.5,64.3,171.1,4117.8,8.1
Multifamily Housing,4,95,526100,1,6532202.3,16638847.6,0,0,57.7,89.1,62.6,94.2,1816.7,4.5
Multifamily Housing,1.5,38,594410,1,18284631.6,12618763.8,0,0,63.1,131.6,66.4,137,3281.8,6.7
Multifamily Housing,1,23,260000,1,4105741.5,21388578.2,0,0,119.3,158.9,130.1,168.6,1722.5,8.1
Multifamily Housing,1.5,40,307292,1,7612745.2,14494198.1,0,0,98.6,162.9,103,165,1857.2,8.3
Multifamily Housing,2.5,54,1380262,1,34933762,40401802.7,0,0,63.2,117.6,66.1,121.7,7135.4,6
Multifamily Housing,2,47,293145,1,5930066.2,11373210,0,0,61.1,100.8,65.3,104,1451.1,5.1
Multifamily Housing,1.5,36,437074,1,13525543.3,19576079.7,0,0,75.7,133.7,80.8,139.4,2971.6,6.8
Multifamily Housing,1.5,32,450350,1,11440797.7,13509547.4,0,0,76.7,142.1,78.1,140.9,2351.6,7.2
Multifamily Housing,4,77,250000,1,5275801.6,9118760.3,0,0,57.6,97.4,60.3,99.6,1237.9,5
Multifamily Housing,4,86,295234,1,3014994.4,16176929.8,0,0,73.5,97.4,81,105.2,1289.9,4.9
Multifamily Housing,1,25,365484,1,9551675.6,15282188.8,0,0,92.9,160.1,99.9,167.4,2175.9,8.1
Multifamily Housing,1,22,317800,1,10381453.6,18265598.9,0,0,98.1,165.2,104.4,169.5,2452.9,8.4
Multifamily Housing,1,8,100000,1,3735072,7441163.4,0,0,111.8,182.7,118.5,186.5,928.7,9.3
Multifamily Housing,4,77,468962,1,12610909,3837445.5,0,0,43,102.8,45.1,108.2,2005,5.2
Multifamily Housing,2.5,55,330065,1,7883030.2,13046472.4,0,0,77.1,131.8,81.2,135.8,1818.9,6.7
Multifamily Housing,3,44,152200,1,5233540.6,2797389.1,0,0,65.7,144,67.1,146.1,896.1,7.3
Multifamily Housing,1.5,35,1008356,1,36671868.9,9534300,0,0,57.6,140.6,60.4,147.6,5744.1,7.2
Multifamily Housing,2.5,33,811703,1,20282582.8,29744356.8,0,0,85.8,151,90.8,156.2,4476.8,7.7
Multifamily Housing,3,63,541521,1,10808755.4,19446579.2,0,0,65.2,109.2,68.5,110.9,2576.7,5.6
Multifamily Housing,4,92,620690,1,8591525.2,19810519.5,0,0,56,88.5,59.6,90.2,2279.3,4.5
Multifamily Housing,3.5,71,800000,1,13848437.9,28450251.8,0,0,75.8,123,81.4,127.9,3489.1,6.3
Multifamily Housing,2,27,104980,1,2344340.5,9112829.4,0,0,128,180.3,139.9,192.8,818.9,9.2
Multifamily Housing,3.5,79,775610,1,12455987.1,37505296.2,0,0,73.1,108.7,78.1,114,3771.1,5.5
Multifamily Housing,2,46,407616,1,10207943.1,16349731.8,0,0,88.2,151.9,93.9,157.9,2326.4,7.7
Multifamily Housing,3.5,75,271000,1,3994015.5,12718799.9,0,0,78.8,115.7,85.6,122.9,1246,5.9
Multifamily Housing,1.5,32,253772,1,7861401.5,17017584.1,0,0,98,157.2,104.2,162.2,2026.7,8
Multifamily Housing,4,61,919000,1,16803605.3,33445701.7,0,0,70.6,115.4,75.5,119.4,4176.5,5.9
Multifamily Housing,2.5,53,384369,1,9590200.5,9925899.7,0,0,65.3,124.8,67.5,126.5,1896.9,6.4
